Year,Host_City,Host_Country,Country,Gold,Silver,Bronze,M_Total,Men,Women,P_Total,Population,Latitude,Longtitude,Participation_Per_Ten_Million,,,,
1988,Seoul,Republic of Korea,Islamic Republic of Iran,4,1,3,8,36,0,36,84176929,32.427908,53.688046,28.51137513,,,,
1988,Seoul,Republic of Korea,Ireland,13,11,18,42,42,11,53,4947267,53.41291,-8.24389,714.1990382,,,,
1988,Seoul,Republic of Korea,Israel,15,14,16,45,47,15,62,8678517,31.046051,34.851612,476.2718484,,,,
1988,Seoul,Republic of Korea,Italy,16,15,27,58,69,26,95,60446035,41.87194,12.56738,104.7766546,,,,
1988,Seoul,Republic of Korea,Jamaica,1,4,3,8,2,3,5,2963429,18.109581,-77.297508,112.4823079,,,,
1988,Seoul,Republic of Korea,Japan,17,12,17,46,109,34,143,126407422,36.204824,138.252924,75.41751254,,,,
1988,Seoul,Republic of Korea,Jordan,0,0,0,0,5,2,7,10220604,30.585164,36.238414,45.65940199,,,,
1988,Seoul,Republic of Korea,Kenya,0,4,1,5,9,3,12,53968739,-0.023559,37.906193,14.82339619,,,,
1988,Seoul,Republic of Korea,Republic of Korea,40,35,19,94,205,21,226,51276977,35.907757,127.766922,293.8290739,,,,
1988,Seoul,Republic of Korea,Kuwait,5,5,7,17,27,3,30,4281320,29.31166,47.481766,467.1456467,,,,
1988,Seoul,Republic of Korea,Liechtenstein,0,0,0,0,1,1,2,38147,47.166,9.555373,3495.250828,,,,
1988,Seoul,Republic of Korea,"Macao, China",0,0,0,0,6,1,7,650846,22.210928,113.552971,717.0154947,,,,
1988,Seoul,Republic of Korea,Malaysia,0,0,1,1,12,2,14,32436963,4.210484,101.975766,28.7737583,,,,
1988,Seoul,Republic of Korea,Mexico,8,9,7,24,28,5,33,129166028,23.634501,-102.552784,17.03234228,,,,
1988,Seoul,Republic of Korea,Morocco,0,0,1,1,14,0,14,36985624,31.791702,-7.09262,25.23503006,,,,
1988,Seoul,Republic of Korea,Netherlands,30,24,29,83,76,34,110,17141544,52.132633,5.291266,427.8105481,,,,
1988,Seoul,Republic of Korea,New Zealand,2,4,11,17,11,5,16,4829021,-40.900557,174.885971,220.8867318,,,,
1988,Seoul,Republic of Korea,Norway,11,11,15,37,28,6,34,5428594,60.472024,8.468946,417.5421236,,,,
1988,Seoul,Republic of Korea,Oman,0,0,0,0,9,0,9,5128058,21.512583,55.923255,117.0033568,,,,
1988,Seoul,Republic of Korea,Philippines,0,0,0,0,4,0,4,109830324,12.879721,121.774017,2.427987617,,,,
1988,Seoul,Republic of Korea,Poland,23,25,33,81,39,7,46,37839255,51.919438,19.145136,81.04458364,,,,
1988,Seoul,Republic of Korea,Portugal,3,5,6,14,7,6,13,10191409,39.399872,-8.224454,85.03894473,,,,
1988,Seoul,Republic of Korea,Puerto Rico,1,2,0,3,12,1,13,2846860,18.220833,-66.590149,304.4289732,,,,
1988,Seoul,Republic of Korea,Singapore,0,0,0,0,7,1,8,5858322,1.352083,103.819836,91.03858295,,,,
1988,Seoul,Republic of Korea,Spain,18,13,12,43,42,8,50,46757980,40.463667,-3.74922,71.28907907,,,,
1988,Seoul,Republic of Korea,Sweden,42,38,23,103,79,24,103,10110233,60.128161,18.643501,679.1798633,,,,
1988,Seoul,Republic of Korea,Switzerland,12,12,11,35,33,8,41,8665615,46.818188,8.227512,315.4228907,,,,
1988,Seoul,Republic of Korea,Thailand,0,1,0,1,10,0,10,69830779,15.870032,100.992541,9.546888581,,,,
1988,Seoul,Republic of Korea,Trinidad and Tobago,0,0,0,0,4,0,4,1400283,10.691803,-61.222503,190.4376949,,,,
1988,Seoul,Republic of Korea,Tunisia,0,0,2,2,1,0,1,11839918,33.886917,9.537499,5.630669627,,,,
1988,Seoul,Republic of Korea,United States of America,91,90,88,269,253,118,371,331341050,37.09024,-95.712891,74.64614883,,,,
1988,Seoul,Republic of Korea,USSR,21,20,15,56,16,6,22,262436000,37.09024,-95.712891,5.588664157,,,,
1988,Seoul,Republic of Korea,West Germany,76,65,52,193,145,43,188,83830972,51.165691,10.451526,149.5071933,,,,
1988,Seoul,Republic of Korea,Yugoslavia,4,4,11,19,30,4,34,23528230,14.48329,121.02138,96.33817192,,,,
1992,Barcelona,Spain,Algeria,0,0,0,0,8,0,8,43984569,28.033886,1.659626,12.12546458,,,,
1992,Barcelona,Spain,Argentina,1,1,0,2,26,1,27,45267449,-38.416097,-63.616672,39.76367213,,,,
1992,Barcelona,Spain,Australia,24,27,25,76,93,41,134,25550683,-25.274398,133.775136,349.63188,,,,
1992,Barcelona,Spain,Austria,5,4,13,22,31,5,36,9015361,47.516231,14.550072,266.2123014,,,,
1992,Barcelona,Spain,Bahrain,0,0,1,1,4,0,4,1711057,25.930414,50.637772,155.8490843,,,,
1992,Barcelona,Spain,Belarus,0,0,0,0,1,0,1,9448772,53.709807,27.953389,7.055590575,,,,
1992,Barcelona,Spain,Belgium,5,5,7,17,64,9,73,11598451,50.503887,4.469936,419.5962605,,,,
1992,Barcelona,Spain,Brazil,3,0,4,7,31,10,41,212821986,-14.235004,-51.92528,12.84328459,,,,
1992,Barcelona,Spain,Bulgaria,1,2,0,3,5,2,7,6939018,42.733883,25.48583,67.25255168,,,,
1992,Barcelona,Spain,Burkina Faso,0,0,0,0,3,0,3,20997293,12.238333,-1.561593,9.525037346,,,,
1992,Barcelona,Spain,Canada,28,21,26,75,89,49,138,37799407,56.130366,-106.346771,243.3900616,,,,
1992,Barcelona,Spain,Chile,0,0,0,0,2,0,2,19144605,-35.675147,-71.542969,6.964538225,,,,
1992,Barcelona,Spain,People's Republic of China,11,7,7,25,13,11,24,1440297825,35.86166,104.195397,1.110881355,,,,
1992,Barcelona,Spain,Chinese Taipei,0,0,1,1,10,1,11,23816775,25.105497,121.597366,30.79062272,,,,
1992,Barcelona,Spain,Colombia,0,0,0,0,4,2,6,50976248,4.570868,-74.297333,7.846791706,,,,
1992,Barcelona,Spain,Costa Rica,0,0,0,0,2,0,2,5102158,9.748917,-83.753428,26.13273312,,,,
1992,Barcelona,Spain,Croatia,0,0,1,1,5,1,6,4100719,45.1,15.2,97.54386975,,,,
1992,Barcelona,Spain,Cuba,3,3,3,9,10,0,10,11325391,21.521757,-77.781167,58.8647815,,,,
1992,Barcelona,Spain,Cyprus,0,0,0,0,4,0,4,1208886,35.126413,33.429859,220.5887624,,,,
1992,Barcelona,Spain,Czechoslovakia,4,3,6,13,24,5,29,10732559,50.073658,14.41854,180.1372192,,,,
1992,Barcelona,Spain,Denmark,12,22,12,46,22,21,43,5795780,56.26392,9.501785,494.612747,,,,
1992,Barcelona,Spain,Dominican Republic,0,0,0,0,1,0,1,10866667,18.735693,-70.162651,6.134969137,,,,
1992,Barcelona,Spain,Ecuador,0,0,0,0,3,0,3,17688599,-1.831239,-78.183406,11.30671796,,,,
1992,Barcelona,Spain,Egypt,7,6,7,20,41,0,41,102659126,26.820553,30.802498,26.6253322,,,,
1992,Barcelona,Spain,Estonia,0,2,1,3,2,4,6,1326693,58.595272,25.013607,301.5015531,,,,
1992,Barcelona,Spain,Faroe Islands,0,1,0,1,1,2,3,48678,61.892635,-6.911806,4108.632236,,,,
1992,Barcelona,Spain,Finland,8,6,11,25,54,13,67,5542237,61.92411,25.748151,805.9320932,,,,
1992,Barcelona,Spain,France,36,36,34,106,106,39,145,65298930,46.227638,2.213749,148.0371373,,,,
1992,Barcelona,Spain,Germany,61,51,59,171,174,64,238,83830972,51.165691,10.451526,189.2697447,,,,
1992,Barcelona,Spain,Great Britain,40,47,41,128,156,52,208,67948282,55.378051,-3.435973,204.076781,,,,
1992,Barcelona,Spain,Greece,0,2,1,3,7,0,7,10413936,39.074208,21.824312,44.81174713,,,,
1992,Barcelona,Spain,"Hong Kong, China",3,4,4,11,16,5,21,7507523,22.396428,114.109497,186.4796152,,,,
1992,Barcelona,Spain,Hungary,4,3,4,11,34,9,43,9655983,47.162494,19.503304,296.8798378,,,,
1992,Barcelona,Spain,Iceland,3,2,12,17,8,4,12,341628,64.963051,-19.020835,2341.72843,,,,
1992,Barcelona,Spain,Independent Paralympic Participants,4,3,1,8,13,3,16,1382345085,20.593684,78.96288,0.771635591,,,,
1992,Barcelona,Spain,India,0,0,0,0,7,2,9,84176929,32.427908,53.688046,7.127843782,,,,
1992,Barcelona,Spain,Islamic Republic of Iran,1,2,1,4,25,4,29,40372771,33.223191,43.679291,47.88706065,,,,
1992,Barcelona,Spain,Iraq,0,0,1,1,18,0,18,4947267,53.41291,-8.24389,242.5581639,,,,
1992,Barcelona,Spain,Ireland,0,3,4,7,40,18,58,8678517,31.046051,34.851612,445.5446324,,,,
1992,Barcelona,Spain,Israel,2,4,5,11,56,6,62,60446035,41.87194,12.56738,68.38055355,,,,
1992,Barcelona,Spain,Italy,10,7,18,35,69,18,87,2963429,18.109581,-77.297508,1957.192158,,,,
1992,Barcelona,Spain,Jamaica,0,1,2,3,2,2,4,126407422,36.204824,138.252924,2.10958077,,,,
1992,Barcelona,Spain,Japan,8,7,15,30,54,22,76,53968739,-0.023559,37.906193,93.88150919,,,,
1992,Barcelona,Spain,Kenya,1,0,1,2,9,6,15,51276977,35.907757,127.766922,19.50192969,,,,
1992,Barcelona,Spain,Republic of Korea,11,15,18,44,64,2,66,4281320,29.31166,47.481766,1027.720423,,,,
1992,Barcelona,Spain,Kuwait,1,3,1,5,21,3,24,1882408,56.879635,24.603189,849.9751382,,,,
1992,Barcelona,Spain,Latvia,0,0,0,0,2,0,2,38147,47.166,9.555373,3495.250828,,,,
1992,Barcelona,Spain,Liechtenstein,0,0,0,0,3,0,3,2715340,55.169438,23.881275,73.65560114,,,,
1992,Barcelona,Spain,Lithuania,0,4,3,7,1,3,4,627704,49.815273,6.129583,424.8286878,,,,
1992,Barcelona,Spain,Luxembourg,0,0,0,0,2,0,2,650846,22.210928,113.552971,204.8615699,,,,
1992,Barcelona,Spain,"Macao, China",0,0,0,0,2,0,2,32436963,4.210484,101.975766,4.1105369,,,,
1992,Barcelona,Spain,Malaysia,0,1,2,3,10,0,10,129166028,23.634501,-102.552784,5.161315843,,,,
1992,Barcelona,Spain,Mexico,0,1,10,11,9,10,19,36985624,31.791702,-7.09262,34.24754079,,,,
1992,Barcelona,Spain,Morocco,0,0,0,0,5,0,5,54473253,21.913965,95.956223,6.11921108,,,,
1992,Barcelona,Spain,Myanmar,0,0,0,0,1,0,1,2548663,-22.95764,18.49041,26.15750559,,,,
1992,Barcelona,Spain,Namibia,0,0,0,0,0,2,2,17141544,52.132633,5.291266,7.778373601,,,,
1992,Barcelona,Spain,Netherlands,14,14,11,39,72,27,99,4829021,-40.900557,174.885971,1366.736653,,,,
1992,Barcelona,Spain,New Zealand,5,1,0,6,9,4,13,206984347,9.081999,8.675277,4.187112114,,,,
1992,Barcelona,Spain,Nigeria,3,0,0,3,6,0,6,5428594,60.472024,8.468946,73.68390416,,,,
1992,Barcelona,Spain,Norway,13,13,7,33,33,5,38,5128058,21.512583,55.923255,494.0141733,,,,
1992,Barcelona,Spain,Oman,0,0,0,0,4,0,4,221612785,30.375321,69.345116,1.203300011,,,,
1992,Barcelona,Spain,Pakistan,0,0,0,0,2,0,2,4326296,8.537981,-80.782127,30.81928128,,,,
1992,Barcelona,Spain,Panama,1,2,0,3,2,0,2,37839255,51.919438,19.145136,3.52367755,,,,
1992,Barcelona,Spain,Poland,10,12,10,32,36,4,40,10191409,39.399872,-8.224454,261.6582915,,,,
1992,Barcelona,Spain,Portugal,3,3,3,9,26,4,30,2846860,18.220833,-66.590149,702.5283997,,,,
1992,Barcelona,Spain,Puerto Rico,0,0,0,0,8,1,9,98453,-4.679574,55.491977,6094.278488,,,,
1992,Barcelona,Spain,Seychelles,0,0,0,0,2,0,2,5858322,1.352083,103.819836,22.75964574,,,,
1992,Barcelona,Spain,Singapore,0,0,0,0,3,1,4,2078989,46.151241,14.995463,128.2674736,,,,
1992,Barcelona,Spain,Slovenia,2,0,1,3,7,1,8,59436725,-30.559482,22.937506,8.973127866,,,,
1992,Barcelona,Spain,South Africa,4,1,3,8,9,1,10,46757980,40.463667,-3.74922,14.25781581,,,,
1992,Barcelona,Spain,Spain,34,31,42,107,167,66,233,10110233,60.128161,18.643501,1536.397166,,,,
1992,Barcelona,Spain,Sweden,7,22,9,38,72,27,99,8665615,46.818188,8.227512,761.6308825,,,,
1992,Barcelona,Spain,Switzerland,6,16,13,35,36,5,41,17500658,34.8149,39.0465,156.1846036,,,,
1992,Barcelona,Spain,Syrian Arab Republic,0,0,0,0,2,0,2,60012400,-6.369028,34.888822,2.221763058,,,,
1992,Barcelona,Spain,Tanzania,0,0,0,0,1,0,1,69830779,15.870032,100.992541,0.954688858,,,,
1992,Barcelona,Spain,Thailand,0,0,1,1,5,0,5,11839918,33.886917,9.537499,28.15334813,,,,
1992,Barcelona,Spain,Tunisia,0,0,0,0,1,0,1,84495243,38.963745,35.243322,0.788999052,,,,
1992,Barcelona,Spain,Turkey,0,0,0,0,1,0,1,9910892,23.424076,53.847818,6.726606108,,,,
1992,Barcelona,Spain,Unified Team,16,14,15,45,50,11,61,331341050,37.09024,-95.712891,12.27335601,,,,
1992,Barcelona,Spain,United Arab Emirates,0,0,0,0,1,0,1,3475842,-32.522779,-55.765835,19.18000492,,,,
1992,Barcelona,Spain,United States of America,75,52,48,175,264,90,354,28421581,6.42375,-66.58973,830.3549335,,,,
1992,Barcelona,Spain,Uruguay,0,0,0,0,2,0,2,29935468,15.552727,48.516388,4.45402535,,,,
1992,Barcelona,Spain,Venezuela,0,0,1,1,9,1,10,39074280,33.93911,67.709953,17.06152146,,,,
1992,Barcelona,Spain,Yemen,0,0,0,0,3,0,3,43984569,28.033886,1.659626,4.547049216,,,,
1996,Atlanta,United States of America,Afghanistan,0,0,0,0,2,0,2,33032075,-11.202692,17.873887,4.036480703,,,,
1996,Atlanta,United States of America,Algeria,2,2,3,7,9,0,9,45267449,-38.416097,-63.616672,13.25455738,,,,
1996,Atlanta,United States of America,Angola,0,0,0,0,2,0,2,2964219,40.069099,45.038189,44.98093202,,,,
1996,Atlanta,United States of America,Argentina,2,5,2,9,49,7,56,25550683,-25.274398,133.775136,146.1148155,,,,
1996,Atlanta,United States of America,Armenia,0,0,0,0,5,0,5,9015361,47.516231,14.550072,36.97393075,,,,
1996,Atlanta,United States of America,Australia,42,37,27,106,99,62,161,10154978,40.143105,47.576927,1056.952889,,,,
